Date,Price,Open,High,Low,Volume,Change
2023-08-14,1915.6,1914.9,1918.6,1906.0,610.0,-0.13
2023-08-15,1906.9,1911.0,1915.0,1899.7,370.0,-0.45
2023-08-16,1900.2,1905.1,1909.6,1894.1,390.0,-0.35
2023-08-17,1887.2,1894.6,1904.6,1886.6,710.0,-0.68
2023-08-18,1888.7,1891.3,1898.0,1888.4,610.0,0.08
2023-08-21,1895.7,1890.6,1899.9,1886.3,1270.0,0.37
2023-08-22,1898.6,1896.3,1905.7,1890.8,1020.0,0.15
2023-08-23,1920.5,1899.2,1921.7,1899.2,920.0,1.15
2023-08-24,1919.1,1918.7,1923.0,1911.6,1290.0,-0.07
2023-08-25,1911.9,1916.0,1921.2,1903.0,790.0,-0.38
2023-08-28,1918.5,1915.2,1926.0,1912.3,390.0,0.35
2023-08-29,1936.4,1920.3,1937.0,1914.4,1670.0,0.93
2023-08-30,1954.0,1947.8,1958.0,1943.8,6330.0,0.91
2023-08-31,1947.0,1951.8,1955.6,1946.6,4059.9999999999995,-0.36
2023-09-01,1948.4,1947.9,1961.1,1942.3,6260.0,0.07
2023-09-04,1952.6,1966.7,1972.6,1950.6,192790.0,0.22
2023-09-05,1934.3,1947.9,1954.1,1932.4,7210.0,-0.94
2023-09-06,1925.8,1933.4,1936.1,1921.6,5410.0,-0.44
2023-09-07,1924.1,1923.2,1929.0,1922.0,4059.9999999999995,-0.09
2023-09-08,1924.6,1925.7,1935.5,1922.8,6620.0,0.03
2023-09-11,1929.2,1925.6,1936.5,1921.8,3090.0,0.24
2023-09-12,1917.2,1927.4,1929.3,1912.0,4770.0,-0.62
2023-09-13,1914.4,1917.8,1920.1,1909.6,4870.0,-0.15
2023-09-14,1914.4,1912.7,1916.0,1903.8,5990.0,0.0
2023-09-15,1927.9,1914.1,1934.0,1913.3,4750.0,0.71
2023-09-18,1935.2,1927.7,1937.3,1925.8,3190.0,0.38
2023-09-19,1935.3,1936.7,1940.3,1932.5,2810.0,0.01
2023-09-20,1948.6,1934.7,1950.2,1930.4,6220.0,0.69
2023-09-21,1921.2,1932.8,1933.6,1915.0,5620.0,-1.41
2023-09-22,1927.2,1921.8,1930.5,1921.5,3300.0,0.31
2023-09-25,1918.2,1926.4,1927.9,1915.5,7990.0,-0.47
2023-09-26,1901.6,1916.7,1917.1,1899.0,12740.0,-0.87
2023-09-27,1872.3,1900.3,1902.9,1872.1,12250.0,-1.54
2023-09-28,1869.5,1885.4,1886.7,1865.5,900.0,-0.15
2023-09-29,1856.9,1873.0,1887.3,1853.4,920.0,-0.67
2023-10-02,1838.2,1853.9,1855.1,1833.8,820.0,-1.01
2023-10-03,1832.6,1835.7,1839.9,1822.8,430.0,-0.3
2023-10-04,1826.1,1829.1,1836.0,1823.0,510.0,-0.35
2023-10-05,1823.2,1828.0,1834.1,1817.8,430.0,-0.16
2023-10-06,1836.7,1826.2,1840.2,1815.3,650.0,0.74
2023-10-09,1855.7,1850.7,1867.8,1849.1,820.0,1.03
2023-10-10,1866.7,1866.3,1870.0,1858.1,360.0,0.59
2023-10-11,1878.4,1864.6,1881.5,1864.3,480.0,0.63
2023-10-12,1874.2,1880.2,1888.8,1872.1,400.0,-0.22
2023-10-13,1932.1,1875.2,1934.8,1875.2,890.0,3.09
2023-10-16,1925.1,1931.9,1931.9,1912.0,470.0,-0.36
2023-10-17,1926.4,1923.2,1934.1,1918.0,280.0,0.07
2023-10-18,1958.8,1926.6,1966.1,1926.6,330.0,1.68
2023-10-19,1971.2,1950.3,1980.7,1948.4,1370.0,0.63
2023-10-20,1985.0,1976.5,1998.9,1975.7,1030.0,0.7
2023-10-23,1978.2,1977.9,1983.1,1963.6,450.0,-0.34
2023-10-24,1976.8,1975.1,1980.3,1958.3,1230.0,-0.07
2023-10-25,1985.5,1972.0,1988.8,1971.0,160.0,0.44
2023-10-26,1987.9,1981.6,1992.5,1974.4,200.0,0.12
2023-10-27,1989.0,1987.5,2009.8,1978.5,370.0,0.06
2023-10-30,2005.6,2013.5,2016.8,1999.7,181340.0,0.83
2023-10-31,1994.3,2005.6,2017.7,1987.4,214780.0,-0.56
2023-11-01,1987.5,1993.3,2005.9,1978.2,197630.0,-0.34
2023-11-02,1993.5,1992.0,1999.2,1986.3,158650.0,0.3
2023-11-03,1999.2,1993.5,2011.9,1989.3,222190.0,0.29
2023-11-06,1988.6,1999.4,2000.1,1984.2,146280.0,-0.53
2023-11-07,1973.5,1984.8,1985.2,1962.8,218950.0,-0.76
2023-11-08,1957.8,1975.3,1977.5,1953.2,189360.0,-0.8
2023-11-09,1969.8,1955.5,1971.5,1948.3,214080.0,0.61
2023-11-10,1937.7,1964.1,1965.6,1936.9,229640.0,-1.63
